Ne I      |              753.78488  |              753.78490  |  28000 | 4.3e+07   | D    | 2s2.2p5.(2P*<3/2>).3p | 1   | 2s2.2p5.(2P*<3/2>).3d | 1   |    |      T8043 |   L3451  |
          |                         |                         |        |           |      |                       |     |                       |     |    |            |          |
Ne I      |              793.91789  |              793.91793  |   1300 | 7.8e+05   | C    | 2s2.2p5.(2P*<3/2>).3p | 2   | 2s2.2p5.(2P*<1/2>).3d | 2   |    |      T8043 |   L9097  |
Ne I      |              808.46801  |              808.46805  |   5700 | 1.2e+05   | B    | 2s2.2p5.(2P*<1/2>).3s | 1   | 2s2.2p5.(2P*<3/2>).3p | 1   |    |      T8043 |   L3451  |
Ne I      |              812.07818  |              812.07815  |   3800 | 4.9e+06   | D    | 2s2.2p5.(2P*<3/2>).3p | 1   | 2s2.2p5.(2P*<1/2>).3d | 1   |    |      T8043 |   L3451  |
Ne I      |              813.11461  |              813.11459  |   1200 | 7.2e+05   | C    | 2s2.2p5.(2P*<3/2>).3p | 1   | 2s2.2p5.(2P*<1/2>).3d | 2   |    |      T8043 |   L9097  |
Ne I      |              826.16498  |              826.16493  |   3300 | 2.03e+06  | C    | 2s2.2p5.(2P*<3/2>).3p | 2   | 2s2.2p5.(2P*<1/2>).3d | 2   |    |      T8043 |   L3451  |
          |                         |                         |        |           |      |                       |     |                       |     |    |            |          |
Ne I      |              837.99093  |              837.99103  |  76000 | 5.1e+07   | C    | 2s2.2p5.(2P*<3/2>).3p | 3   | 2s2.2p5.(2P*<3/2>).3d | 4   |    |      T682n |   L7292  |
Ne I      |              849.76932  |              849.76939  |  69000 | 3.57e+07  | C    | 2s2.2p5.(2P*<3/2>).3p | 2   | 2s2.2p5.(2P*<3/2>).3d | 3   |    |      T682n |   L3451  |
Ne I      |              857.37082  |              857.37071  |   2900 | 5.5e+06   | D    | 2s2.2p5.(2P*<1/2>).3p | 1   | 2s2.2p5.(2P*<1/2>).3d | 1   |    |      T8043 |   L3451  |
Ne I      |              858.52609  |              858.52606  |   1600 | 1.00e+06  | C    | 2s2.2p5.(2P*<1/2>).3p | 1   | 2s2.2p5.(2P*<1/2>).3d | 2   |    |      T8043 |   L9097  |
Ne I      |              864.94164  |              864.94163  |   6000 | 3.91e+06  | C    | 2s2.2p5.(2P*<1/2>).3p | 2   | 2s2.2p5.(2P*<1/2>).3d | 2   |    |      T8043 |   L9097  |
          |                         |                         |        |           |      |                       |     |                       |     |    |            |          |
Ne I      |              865.67599  |              865.67602  |  64000 | 4.45e+07  | C    | 2s2.2p5.(2P*<1/2>).3p | 2   | 2s2.2p5.(2P*<1/2>).3d | 3   |    |      T682n |   L9097  |
Ne I      |              868.43062  |              868.43057  |  15000 | 2.1e+07   | D    | 2s2.2p5.(2P*<3/2>).3p | 1   | 2s2.2p5.(2P*<3/2>).3d | 1   |    |      T8043 |   L3451  |
Ne I      |              876.9944   |              876.99438  |    160 | 1.1e+05   | D    | 2s2.2p5.(2P*<3/2>).3p | 1   | 2s2.2p5.(2P*<3/2>).3d | 1   |    |      T8043 |   L9097  |
Ne I      |              877.40664  |              877.40652  |  10000 | 1.6e+07   | D    | 2s2.2p5.(2P*<1/2>).3p | 1   | 2s2.2p5.(2P*<1/2>).3d | 1   |    |      T8043 |   L9097  |
Ne I      |              878.61660  |              878.61654  |  43000 | 3.13e+07  | C    | 2s2.2p5.(2P*<1/2>).3p | 1   | 2s2.2p5.(2P*<1/2>).3d | 2   |    |      T8043 |   L3451  |
          |                         |                         |        |           |      |                       |     |                       |     |    |            |          |
Ne I      |              886.77399  |              886.77405  |   2100 | 9.4e+05   | D    | 2s2.2p5.(2P*<3/2>).3p | 1   | 2s2.2p5.(2P*<1/2>).4s | 1   |    |      T8043 |   L3451  |
Ne I      |              920.42841  |              920.42844  |   8900 | 9.1e+06   | D    | 2s2.2p5.(2P*<1/2>).3p | 1   | 2s2.2p5.(2P*<3/2>).3d | 1   |    |      T8043 |   L9097  |
Ne I      |              943.55961  |              943.55956  |     66 | 1.1e+05   | D    | 2s2.2p5.(2P*<1/2>).3p | 1   | 2s2.2p5.(2P*<3/2>).3d | 1   |    |      T8043 |   L9097  |
Ne I      |              948.92849  |              948.92842  |   5000 | 2.5e+06   | D    | 2s2.2p5.(2P*<3/2>).3p | 1   | 2s2.2p5.(2P*<3/2>).4s | 1   |    |      T8043 |   L9097  |
Ne I      |              953.67793  |              953.67782  |   6100 | 6.3e+06   | D    | 2s2.2p5.(2P*<1/2>).3p | 1   | 2s2.2p5.(2P*<3/2>).3d | 1   |    |      T8043 |   L9097  |

